Player,Player-additional,Ht.,Wt.
Álex Herrera,herreal01,5-11,190.0
Bobby Herrera,herrebo01,6-0,184.0
Dilson Herrera,herredi01,5-10,210.0
Elián Herrera,herreel01,5-11,205.0
Iván Herrera,herreiv01,5-11,220.0
José Herrera,herrejo01,5-8,165.0
José Herrera,herrejo02,6-0,165.0
Jonathan Herrera,herrejo03,5-9,180.0
José Herrera,herrejo04,5-10,217.0
Kelvin Herrera,herreke01,5-10,220.0
Mike Herrera,herremi01,5-6,147.0
Odúbel Herrera,herreod01,5-11,200.0
Pancho Herrera,herrepa01,6-3,220.0
Ronald Herrera,herrero01,5-11,185.0
Rosell Herrera,herrero02,6-3,180.0
Yoslán Herrera,herreyo01,6-2,200.0
Otto Hess,hessot01,6-1,170.0
George Heubel,heubege01,5-11,178.0
Richard Hidalgo,hidalri01,6-3,220.0
Dick Higham,highadi01,5-8,171.0
Teddy Higuera,higuete01,5-10,178.0
John Hiller,hillejo01,6-1,185.0
Shawn Hill,hillsh01,6-2,180.0
Mike Hines,hinesmi01,5-10,176.0
Dalier Hinojosa,hinojda01,6-1,230.0
Yoshihisa Hirano,hiranyo01,6-1,185.0
Paul Hodgson,hodgspa01,6-2,190.0
Marty Hogan,hoganma01,5-8,145.0
Bob Hooper,hoopebo01,5-11,195.0
Mike Hopkins,hopkimi01,5-8,160.0
Vince Horsman,horsmvi01,6-2,175.0
Craig House,housecr01,6-2,210.0
John Houseman,housejo01,5-10,160.0
Joe Hovlik,hovlijo01,5-10,194.0
Peter Hoy,hoype01,6-7,220.0
Wei-Chieh Huang,huangwe01,6-2,175.0
Glenn Hubbard,hubbagl01,5-9,150.0
Justin Huber,huberju01,6-2,200.0
Chin-lung Hu,huch01,5-11,190.0
Chih-Wei Hu,huch02,6-1,243.0
Luke Hughes,hughelu01,5-11,205.0
Tom Hughes,hugheto05,6-2,180.0
John Humphries,humphjo01,6-0,185.0
Bill Hunter,huntebi01,5-7,160.0
Edwin Hurtado,hurtaed01,6-3,215.0
Mark Hutton,huttoma01,6-6,240.0
Jae-gyun Hwang,hwangja01,6-0,215.0
Andy Ibáñez,ibanean01,5-10,205.0
Edgar Ibarra,ibarred01,6-0,190.0
Ryota Igarashi,igarary01,5-11,200.0
Kei Igawa,igawake01,6-1,210.0
Jose Iglesias,iglesjo01,5-11,195.0
Raisel Iglesias,iglesra01,6-2,190.0
Tadahito Iguchi,iguchta01,5-10,185.0
Shota Imanaga,imanash01,5-10,175.0
Ender Inciarte,inciaen01,5-11,190.0
Alexis Infante,infanal01,5-10,175.0
Gregory Infante,infangr01,6-1,200.0
Omar Infante,infanom01,5-11,195.0
Hideki Irabu,irabuhi01,6-4,240.0
Hernán Iribarren,iribahe01,6-1,202.0
Arthur Irwin,irwinar01,5-8,158.0
John Irwin,irwinjo01,5-10,168.0
Orlando Isales,isaleor01,5-9,175.0
Kazuhisa Ishii,ishiika01,6-0,215.0
Hisashi Iwakuma,iwakuhi01,6-3,210.0
Akinori Iwamura,iwamuak01,5-9,200.0
Hank Izquierdo,izquiha01,5-11,175.0
Hansel Izquierdo,izquiha02,6-2,205.0
César Izturis,izturce01,5-9,180.0
Maicer Izturis,izturma01,5-8,185.0
Edwin Jackson,jacksed01,6-2,215.0
Sam Jackson,jackssa01,5-5,160.0
Beany Jacobson,jacobbe01,6-0,170.0
Juan Jaime,jaimeju01,6-2,250.0
Kenley Jansen,janseke01,6-5,265.0
Al Javier,javieal01,5-11,170.0
Cristian Javier,javiecr01,6-1,210.0
Julián Javier,javieju01,6-1,175.0
Stan Javier,javiest01,6-0,185.0
Domingo Jean,jeando01,6-2,175.0
Steve Jeltz,jeltzst01,5-11,180.0
Fergie Jenkins,jenkife01,6-5,205.0
Robin Jennings,jenniro01,6-2,205.0
Williams Jerez,jerezwi01,6-4,210.0
A.J. Jiménez,jimenaj01,6-0,195.0
Bienvenido Jiménez,jimenbi01,5-10,
César Jiménez,jimence01,6-0,215.0
D'Angelo Jiménez,jimend'01,6-0,190.0
Dany Jiménez,jimenda01,6-1,182.0
Eduardo Jiménez,jimened01,6-2,215.0
Elvio Jiménez,jimenel01,5-9,170.0
Eloy Jiménez,jimenel02,6-4,250.0
Eusebio Jiménez,jimeneu01,,
Germán Jiménez,jimenge01,5-11,200.0
Houston Jiménez,jimenho01,5-8,144.0
José Jiménez,jimenjo01,6-3,170.0
Joe Jiménez,jimenjo02,6-3,277.0
Juan Jiménez,jimenju01,6-1,165.0
Kelvin Jiménez,jimenke01,6-2,195.0
Luis Jiménez,jimenlu01,6-3,280.0
Luis Jiménez,jimenlu02,6-1,205.0
Manny Jiménez,jimenma01,6-1,185.0
Ubaldo Jiménez,jimenub01,6-5,221.0
Waldis Joaquín,joaquwa01,6-3,230.0
Kenji Johjima,johjike01,6-0,205.0
Abbie Johnson,johnsab02,5-9,165.0
Mike Johnson,johnsmi02,6-2,175.0
Spud Johnson,johnssp01,5-9,175.0
Andruw Jones,jonesan01,6-1,225.0
Bill Jones,jonesbi02,5-6,157.0
Mike Jones,jonesmi01,5-11,168.0
Arndt Jorgens,jorgear01,5-9,160.0
Félix Jorge,jorgefe01,6-2,178.0
Félix José,josefe01,6-1,190.0
Rick Joseph,josepri01,6-1,192.0
Oscar Judd,juddos01,6-0,180.0
Edouard Julien,julieed01,6-0,195.0
Jorge Julio,juliojo01,6-1,190.0
Ariel Jurado,juradar01,6-2,240.0
Jair Jurrjens,jurrjja01,6-1,200.0
Jung Ho Kang,kangju01,6-0,210.0
Takashi Kashiwada,kashita01,5-11,165.0
Jack Katoll,katolja01,5-11,195.0
James Cavanagh,kavan01,,
Kenshin Kawakami,kawakke01,5-11,200.0
Munenori Kawasaki,kawasmu01,5-11,175.0
León Kellman,kellmle01,5-11,160.0
Win Kellum,kelluwi01,5-10,190.0
Roberto Kelly,kellyro01,6-2,180.0
Steve Kent,kentst01,5-11,170.0
Max Kepler,keplema01,6-4,225.0
Mel Kerr,kerrme01,5-11,155.0
Masao Kida,kidama01,6-3,210.0
Yusei Kikuchi,kikucyu01,6-0,210.0
Mike Kilkenny,kilkemi01,6-3,175.0
Franklyn Kilome,kilomfr01,6-6,175.0
Byung-Hyun Kim,kimby01,5-11,176.0
Ha-Seong Kim,kimha01,5-9,168.0
Hyun Soo Kim,kimhy01,6-2,210.0
Kwang Hyun Kim,kimkw01,6-2,195.0
Sun-Woo Kim,kimsu01,6-2,180.0
Harry Kingman,kingmha01,6-1,165.0
Gene Kingsale,kingsge01,6-3,190.0
Ed Kippert,kippeed01,5-10,180.0
Alejandro Kirk,kirkal01,5-8,245.0
Danny Klassen,klassda01,6-0,175.0
John Kloza,klozana01,5-11,180.0
Joe Knight,knighjo01,5-11,185.0
Jimmy Knowles,knowlji01,5-9,160.0
Masahide Kobayashi,kobayma01,6-0,195.0
Ben Koehler,koehlbe01,5-10,175.0
Satoru Komiyama,komiysa01,6-0,183.0
Dae-Sung Koo,kooda01,6-1,185.0
George Korince,koringe01,6-3,210.0
Corey Koskie,koskico01,6-3,215.0
George Kottaras,kottage01,6-0,200.0
Josef Koukalik,koukajo01,5-8,160.0
Joe Krakauskas,krakajo01,6-1,203.0
Paul Krichell,krichpa01,5-7,150.0
Kurt Krieger,kriegku01,6-3,212.0
Marty Krug,krugma01,5-9,165.0
Bill Kuehne,kuehnbi01,5-8,185.0
Hung-Chih Kuo,kuoho01,6-2,240.0
Hiroki Kuroda,kurodhi01,6-1,205.0
Masumi Kuwata,kuwatma01,5-10,185.0
Andy Kyle,kylean01,5-8,160.0
Jairo Labourt,labouja01,6-5,234.0
Coco Laboy,laboyco01,5-10,165.0
Pete LaForest,laforpe01,6-2,210.0
Ty LaForest,laforty01,5-9,165.0
Juan Lagares,lagarju01,6-2,219.0
Fred Lake,lakefr01,5-10,170.0
Junior Lake,lakeju01,6-2,230.0
Néstor Lambertus,lambene01,6-0,200.0
Dinelson Lamet,lametdi01,6-3,228.0
Keith Lampard,lampake01,6-2,197.0
Rafael Landestoy,landera01,5-10,165.0
Larry Landreth,landrla01,6-1,175.0
Enrique Lantigua,lantien01,,
Pedro Lanuza,lanuzpe01,,
Juan Lara,laraju01,6-2,190.0
Yovanny Lara,larayo01,6-4,180.0
Sam LaRocque,laroqsa01,5-11,190.0
Ramón Laureano,laurera01,5-11,203.0
George Lauzerique,lauzege01,6-1,180.0
Jim Lawrence,lawreji01,6-1,185.0
Justin Lawrence,lawreju01,6-3,213.0
Brett Lawrie,lawribr01,6-0,210.0
Ron Law,lawro01,6-2,165.0
Al Lawson,lawsoal01,5-11,161.0
Agapito Lázaga,lazagag01,5-10,
Raudel Lazo,lazora01,5-9,180.0
Charlie Lea,leach01,6-4,194.0
Luis Leal,leallu01,6-3,205.0
Charles Leblanc,leblach01,6-3,195.0
José Leblanc,leblajo01,,
José Leclerc,leclejo01,6-0,195.0
Ricky Ledée,ledeeri01,6-2,190.0
Wil Ledezma,ledezwi01,6-4,225.0
Carlos Lee,leeca01,6-2,270.0
C.C. Lee,leech01,5-11,190.0
Dae-ho Lee,leeda02,6-4,250.0
Jung Hoo Lee,leeju01,6-1,192.0
Manuel Lee,leema02,5-10,145.0
Sang-Hoon Lee,leesa01,6-1,190.0
Craig Lefferts,leffecr01,6-1,180.0
Bill Lelivelt,lelivbi01,6-0,195.0
Jack Lelivelt,lelivja01,5-11,175.0
Andy Leonard,leonaan01,5-7,168.0
Arnold León,leonar01,6-1,210.0
Arcenio León,leonar02,6-3,222.0
Danny León,leonda01,6-1,170.0
Izzy León,leoniz01,5-10,160.0
José León,leonjo01,6-0,175.0
Juan León,leonju01,,
Max León,leonma01,5-10,145.0
Sandy León,leonsa01,5-10,235.0
Pete LePine,lepinpe01,5-10,142.0
Chris Leroux,lerouch01,6-6,225.0
Brian Lesher,leshebr01,6-5,205.0
David Lenz,leutz01,,
Oscar Levis,levisos01,5-7,175.0
Allan Lewis,lewisal01,6-0,170.0
Ted Lewis,lewiste01,5-10,158.0
Domingo Leyba,leybado01,5-8,205.0
Robinson Leyer,leyerro01,6-2,185.0
Carlos Lezcano,lezcaca01,6-2,185.0
Sixto Lezcano,lezcasi01,5-10,165.0
Luis Liberato,liberlu01,6-1,175.0
Frankie Libran,librafr01,6-0,168.0
Alex Liddi,liddial01,6-4,225.0
José Lima,limajo01,6-2,170.0
Chang-Yong Lim,limch01,5-11,175.0
Rogelio Linares,linarro01,5-9,180.0
Rufino Linares,linarru01,6-0,170.0
Che-Hsuan Lin,linch01,6-0,180.0
José Lind,lindjo01,5-11,155.0
Francisco Lindor,lindofr01,5-11,190.0
Axel Lindstrom,lindsax01,5-10,180.0
Shane Lindsay,lindssh01,6-2,230.0
Dick Lines,linesdi01,6-1,175.0
Carl Linhart,linhaca01,5-11,184.0
Tzu-Wei Lin,lintz02,5-9,180.0
Felipe Lira,lirafe01,6-0,170.0
Francisco Liriano,liriafr01,6-3,220.0
Nelson Liriano,liriane01,5-10,165.0
Pedro Liriano,liriape01,6-2,170.0
Rymer Liriano,liriary01,6-0,230.0
Rick Lisi,lisiri01,6-0,175.0
Jake Livingstone,livinja01,,
Radhames Liz,lizra01,6-2,200.0
Winston Llenas,llenawi01,5-10,165.0
Mauricio Llovera,llovema01,5-11,224.0
Graeme Lloyd,lloydgr01,6-8,225.0
Jonathan Loáisiga,loaisjo01,5-11,165.0
Esteban Loaiza,loaizes01,6-2,230.0
Jose Lobaton,lobatjo01,6-1,212.0
Chia-Jen Lo,loch02,5-11,205.0
Adam Loewen,loewead01,6-6,245.0
Alberto Lois,loisal01,5-9,175.0
Red Long,longre01,6-1,190.0
Alejo López,lopezal03,5-8,170.0
Aquilino López,lopezaq01,6-3,185.0
Art López,lopezar01,5-9,170.0
Arturo López,lopezar02,5-9,165.0
Armando López,lopezar03,5-7,
Aurelio López,lopezau01,6-0,185.0
Carlos López,lopezca01,6-0,190.0
Cando López,lopezca02,,
Felipe López,lopezfe01,6-0,205.0
Héctor López,lopezhe01,5-11,182.0
Irving López,lopezir01,5-7,175.0
Javy López,lopezja01,6-3,185.0
Javier López,lopezja02,6-4,220.0
Jack López,lopezja03,5-10,160.0
José López,lopezjo01,6-0,205.0
Jorge López,lopezjo02,6-3,200.0
José López,lopezjo03,5-6,
José López,lopezjo04,6-1,200.0
Luis López,lopezlu02,5-11,175.0
Marcelino López,lopezma01,6-3,195.0
Mendy López,lopezme01,6-2,200.0
Otto López,lopezot01,5-10,185.0
Pablo López,lopezpa01,6-4,225.0
Pedro López,lopezpe01,6-1,190.0
Ramón López,lopezra01,6-0,175.0
Raúl López,lopezra03,,
Reynaldo López,lopezre01,6-1,225.0
Rodrigo López,lopezro02,6-1,185.0
Ventura López,lopezve01,,
Wilton López,lopezwi01,6-0,200.0
Yoan López,lopezyo01,6-3,208.0
Jesús Lorenzo,lorenje01,,
Patrick O'Loughlin,lough01,,
Mike Lowell,lowelmi01,6-4,195.0
Elvis Luciano,luciael01,6-3,210.0
Marco Luciano,luciama01,6-1,178.0
Con Lucid,lucidco01,5-7,170.0
Dawel Lugo,lugoda01,6-0,190.0
Julio Lugo,lugoju01,6-1,175.0
Ruddy Lugo,lugoru01,6-0,210.0
Urbano Lugo,lugour01,6-0,185.0
Héctor Luna,lunahe01,6-1,190.0
Memo Luna,luname01,6-0,168.0
Fernando Lunar,lunarfe01,6-1,195.0
Dolf Luque,luquedo01,5-7,160.0
Jesús Luzardo,luzarje01,6-0,218.0
Pat Lyons,lyonspa01,5-7,155.0
Mac MacArthur,macarma01,5-9,164.0
Alejandro Machado,machaal01,6-0,185.0
Anderson Machado,machaan01,6-0,189.0
Andrés Machado,machaan02,6-1,232.0
Dixon Machado,machadi01,6-1,190.0
Julio Machado,machaju01,5-9,165.0
Robert Machado,macharo01,6-1,205.0
Jean Machi,machije01,5-11,257.0
Vimael Machín,machivi01,5-11,185.0
José Macías,maciajo01,5-10,173.0
Eric MacKenzie,mackeer01,6-0,185.0
Ken MacKenzie,mackeke01,6-0,185.0
Reddy Mack,mackre01,5-8,182.0
Luís Madero,maderlu01,6-1,195.0
Warner Madrigal,madriwa01,6-1,235.0
Calvin Maduro,madurca01,6-0,175.0
Kenta Maeda,maedake01,6-1,185.0
Héctor Maestri,maesthe01,5-10,170.0
Ever Magallanes,magalev01,5-10,165.0
Bill Magee,mageebi01,5-10,154.0
Trystan Magnuson,magnutr01,6-7,220.0
Ule Mahoney,mahonul01,5-11,175.0
Oswaldo Mairena,maireos01,5-11,165.0
Kazuhisa Makita,makitka01,5-10,181.0
José Malavé,malavjo01,6-2,212.0
Candy Maldonado,maldoca01,6-0,185.0
Carlos Maldonado,maldoca02,6-2,175.0
Carlos Maldonado,maldoca03,6-2,260.0
Martín Maldonado,maldoma01,6-0,230.0
Fergy Malone,malonfe01,5-8,156.0
Claudio Manela,manelcl01,5-6,145.0
Ángel Mangual,manguan01,5-10,178.0
Pepe Mangual,mangupe01,5-10,157.0
Tim Manning,manniti01,5-10,170.0
Julio Mañón,manonju01,6-0,200.0
Ramón Mañón,manonra01,6-0,150.0
Fred Manrique,manrifr01,6-1,175.0
Félix Mantilla,mantife01,6-0,160.0
Josías Manzanillo,manzajo01,6-0,190.0
Ravelo Manzanillo,manzara01,6-0,210.0
Paul Marak,marakpa01,6-2,175.0
Georges Maranda,marange01,6-2,195.0
Tucupita Marcano,marcatu01,6-0,170.0
Phil Marchildon,marchph01,5-10,170.0
Rafael Marchán,marchra01,5-9,170.0
Manuel Margot,margoma01,5-11,180.0
Juan Marichal,maricju01,6-0,185.0
Sugar Ray Marimón,marimsu01,6-1,195.0
Jhan Mariñez,marinjh01,6-1,200.0
Duke Markell,markedu01,6-1,209.0
Carlos Mármol,marmoca01,6-1,235.0
Brailyn Márquez,marqubr01,6-4,185.0
Germán Márquez,marquge01,6-1,230.0
Gonzalo Márquez,marqugo01,5-11,180.0
Isidro Márquez,marquis01,5-11,220.0
Luis Márquez,marqulu01,5-10,174.0
Connie Marrero,marreco01,5-5,158.0
Eli Marrero,marreel01,6-1,180.0
Oreste Marrero,marreor01,6-0,195.0
Armando Marsans,marsaar01,5-10,157.0
Alfredo Marte,marteal01,5-11,200.0
Andy Marte,martean01,6-1,205.0
Dámaso Marté,marteda01,6-2,215.0
Francis Martes,martefr01,6-0,249.0
Jefry Marté,marteje01,6-1,220.0
José Marte,martejo01,6-3,180.0
Ketel Marte,marteke01,6-1,210.0
Kelvin Marte,marteke02,5-9,170.0
Luis Marte,martelu01,5-11,200.0
Luis Marté,martelu02,6-1,188.0
Noelvi Marté,marteno01,6-0,216.0
Starling Marte,martest01,6-1,195.0
Víctor Marté,martevi01,6-2,260.0
Yunior Marté,marteyu01,6-2,180.0
Adrián Martínez,martiad01,6-2,215.0
Anastacio Martínez,martian01,6-2,180.0
Carmelo Martínez,martica01,6-2,190.0
Carlos Martínez,martica02,6-5,175.0
Carlos Martínez,martica03,6-1,170.0
Carlos Martínez,martica04,6-0,200.0
Chito Martínez,martich01,5-10,180.0
Cristhian Martínez,marticr01,6-1,185.0
David Martínez,martida02,6-2,220.0
Dennis Martínez,martide01,6-1,160.0
Domingo Martínez,martido02,6-2,215.0
Félix Martínez,martife01,6-0,170.0
Fernando Martínez,martife02,6-1,210.0
Héctor Martínez,martihe02,5-10,160.0
Javier Martínez,martija02,6-2,210.0
José Martínez,martijo04,6-0,178.0
José Martínez,martijo06,6-2,180.0
José Martínez,martijo08,6-6,215.0
J.P. Martínez,martijp01,5-8,174.0
Justin Martínez,martiju01,6-3,180.0
Leonys Martín,martile01,6-2,200.0
Luis Martínez,martilu01,6-6,200.0
Marty Martínez,martima01,6-0,170.0
Manny Martínez,martima02,6-2,169.0
Michael Martínez,martimi02,5-9,180.0
Norberto Martín,martino01,5-10,175.0
Osvaldo Martínez,martios01,5-10,200.0
Pablo Martínez,martipa03,5-10,155.0
Pasqual Martínez,martipa04,,
Pablo Martínez,martipa05,5-5,
Pedro Martínez,martipe02,5-11,170.0
Pedro Martínez,martipe03,6-2,155.0
Prudencio Martínez,martipr01,5-8,
Ramón Martínez,martira02,6-4,165.0
Ramón Martínez,martira05,5-5,
Horacio Martínez,martira06,5-9,155.0
Rogelio Martínez,martiro01,6-0,180.0
Russell Martin,martiru01,5-10,215.0
Sandy Martínez,martisa01,6-2,200.0
Shairon Martis,martish01,6-1,225.0
Silvio Martínez,martisi01,5-10,170.0
Ted Martínez,martite01,6-0,165.0
Tony Martínez,martito01,5-10,165.0
Victor Martinez,martivi01,6-2,235.0
Willie Martínez,martiwi01,6-2,180.0
Damon Mashore,mashoda01,5-11,195.0
Salvador Massip,massisa01,,
Justin Masterson,masteju01,6-6,260.0
Tom Mastny,mastnto01,6-6,220.0
Frank Mata,matafr01,6-1,235.0
Víctor Mata,matavi01,6-1,165.0
Henry Mateo,mateohe01,6-0,175.0
Jorge Mateo,mateojo01,6-1,200.0
Julio Mateo,mateoju01,5-11,235.0
Juan Mateo,mateoju02,6-2,235.0
Marcos Mateo,mateoma01,6-1,220.0
Rubén Mateo,mateoru01,6-0,170.0
Scott Mathieson,mathisc01,6-3,230.0
Francisco Matos,matosfr01,6-1,160.0
Luis Matos,matoslu01,6-2,210.0
Luis Matos,matoslu02,5-11,160.0
Osiris Matos,matosos01,6-1,200.0
Pascual Matos,matospa01,6-2,180.0
Daisuke Matsuzaka,matsuda01,6-0,205.0
Hideki Matsui,matsuhi01,6-2,210.0
Kazuo Matsui,matsuka01,5-10,187.0
Yuki Matsui,matsuyu01,5-8,165.0
Ronny Mauricio,mauriro01,6-3,166.0
Bruce Maxwell,maxwebr01,6-1,250.0
Yunesky Maya,mayayu01,6-0,215.0
Matt Maysey,maysema01,6-4,225.0
Edwin Maysonet,maysoed01,6-1,180.0
Luis Maza,mazalu01,5-8,195.0
Nomar Mazara,mazarno01,6-4,225.0
Al McBean,mcbeaal01,5-11,165.0
Ralph McCabe,mccabra01,6-4,195.0
Tom McCarthy,mccarto03,6-0,180.0
Kirk McCaskill,mccaski01,6-1,190.0
Jim McCormick,mccorji01,5-10,215.0
Charlie McCullough,mcculch01,6-1,185.0
Jeff McCurry,mccurje01,6-7,210.0
Keith McDonald,mcdonke01,6-2,215.0
Orlando McFarlane,mcfaror01,6-0,180.0
Art McGovern,mcgovar01,5-10,160.0
John McGuinness,mcguijo01,5-10,150.0
Irish McIlveen,mcilvir01,5-11,180.0
Cody McKay,mckayco01,6-0,212.0
Dave McKay,mckayda01,6-1,195.0
Jim McKeever,mckeeji01,5-10,170.0
Barney McLaughlin,mclauba01,5-8,163.0
Frank McLaughlin,mclaufr01,5-9,160.0
Larry McLean,mcleala01,6-5,228.0
Pat McManus,mcmanpa01,,
George McMillan,mcmilge01,5-8,175.0
Charlie Mead,meadch01,6-1,185.0
Curtis Mead,meadcu01,6-0,171.0
Chris Mears,mearsch01,6-4,190.0
Víctor Mederos,medervi01,6-2,227.0
Adonis Medina,medinad01,6-1,187.0
Lázaro Medina,medinla01,,
Luis Medina,medinlu02,6-1,175.0
Rafael Medina,medinra01,6-3,194.0
Yoervis Medina,medinyo01,6-3,245.0
Frank Meek,meekda01,6-0,170.0
Adalberto Mejía,mejiaad01,6-3,265.0
Erick Mejia,mejiaer01,5-11,195.0
Francisco Mejia,mejiafr01,5-8,188.0
Humberto Mejía,mejiahu01,6-4,244.0
Jenrry Mejía,mejiaje01,6-0,205.0
J.C. Mejía,mejiaje02,6-6,250.0
Miguel Mejía,mejiami01,6-1,155.0
Román Mejías,mejiaro01,6-0,175.0
Roberto Mejía,mejiaro02,5-11,160.0
Sam Mejías,mejiasa01,6-0,170.0
Francisco Meléndez,melenfr01,6-0,190.0
José Meléndez,melenjo01,6-2,175.0
Luis Meléndez,melenlu01,6-0,165.0
Keury Mella,mellake01,6-2,234.0
Juan Melo,meloju01,6-3,206.0
Adalberto Méndez,mendead01,6-2,160.0
Carlos Méndez,mendeca01,6-0,210.0
Donaldo Méndez,mendedo01,6-1,155.0
José Méndez,mendejo99,5-10,152.0
Román Méndez,mendero01,6-3,245.0
Yohander Méndez,mendeyo01,6-4,230.0
Carlos Mendoza,mendoca01,5-11,160.0
Luis Mendoza,mendolu01,6-3,245.0
Mario Mendoza,mendoma01,5-11,170.0
Minnie Mendoza,mendomi01,6-0,180.0
Ramiro Mendoza,mendora01,6-2,154.0
Tony Menéndez,menento01,6-2,190.0
Joey Meneses,menesjo01,6-3,235.0
Héctor Mercado,mercahe01,6-3,205.0
Orlando Mercado,mercaor01,6-0,180.0
Óscar Mercado,mercaos01,6-2,197.0
Henry Mercedes,mercehe01,5-11,185.0
José Mercedes,mercejo02,6-1,180.0
Luis Mercedes,mercelu01,6-0,180.0
Melvin Mercedes,merceme01,6-3,250.0
Orlando Merced,merceor01,6-0,180.0
Yermín Mercedes,merceye01,5-11,245.0
Andrés Mesa,mesaan01,5-10,160.0
José Mesa,mesajo01,6-3,170.0
Melky Mesa,mesame01,6-1,200.0
Pablo Mesa,mesapa01,5-7,160.0
Hensley Meulens,meulehe01,6-4,200.0
John Michaelson,michajo01,5-9,165.0
José Mijares,mijarjo01,5-11,265.0
Félix Millán,millafe01,5-11,172.0
Bill Miller,millebi01,6-2,170.0
Doc Miller,milledo03,5-10,170.0
Joe Miller,millejo01,5-10,169.0
Orlando Miller,milleor01,6-1,180.0
Ralph Milliard,millira02,5-11,170.0
Juan Minaya,minayju01,6-4,210.0
Minnie Miñoso,minosmi01,5-10,175.0
Antonio Mirabal,miraban01,5-7,
Ángel Miranda,miranan01,6-1,160.0
Aríel Miranda,miranar01,6-2,190.0
José Miranda,miranjo01,6-2,210.0
Juan Miranda,miranju01,6-0,220.0
Willy Miranda,miranwi01,5-9,150.0
Pedro Miró,mirope01,,
Anthony Molina,molinan01,6-1,170.0
Bengie Molina,molinbe01,5-11,190.0
Gustavo Molina,molingu01,6-1,245.0
José Molina,molinjo01,6-0,250.0
Yadier Molina,molinya01,5-11,225.0
Dustin Molleken,molledu01,6-4,260.0
Fritz Mollwitz,mollwfr01,6-2,170.0
Andruw Monasterio,monasan01,5-11,196.0
Carlos Monasterios,monasca01,6-1,205.0
Yoán Moncada,moncayo01,6-2,220.0
Raúl Mondesi,mondera01,5-11,202.0
Sid Monge,mongesi01,6-2,185.0
Esteban Montalvo,montaes01,6-0,190.0
Frankie Montas,montafr02,6-2,255.0
Luis Montañez,montalu01,6-1,195.0
Rafael Montalvo,montara01,6-0,185.0
Willie Montañez,montawi01,6-0,170.0
Agustín Montero,monteag01,6-3,210.0
Aurelio Monteagudo,monteau01,5-11,180.0
Elehuris Montero,monteel01,6-3,235.0
Felipe Montemayor,montefe01,6-2,185.0
Jesús Montero,monteje01,6-3,235.0
Manny Montejo,montema01,5-11,150.0
Miguel Montero,montemi01,5-11,221.0
Rafael Montero,montera01,6-0,193.0
René Monteagudo,montere01,5-7,165.0
Charlie Montoyo,montoch01,5-10,170.0
Ramón Monzant,monzara01,6-0,160.0
Jerry Moore,mooreje01,5-11,170.0
Andrés Mora,moraan01,6-0,180.0
Cándido Morales,moralca01,,
Franklin Morales,moralfr01,6-1,210.0
Francisco Morales,moralfr02,6-4,185.0
Jerry Morales,moralje01,5-10,155.0
José Morales,moraljo01,5-11,187.0
José Morales,moraljo02,5-11,200.0
Kendrys Morales,moralke01,6-1,242.0
Osmer Morales,moralos01,6-3,196.0
Melvin Mora,morame01,5-11,200.0
Jovani Morán,moranjo01,6-1,167.0
José Morban,morbajo01,6-1,170.0
Adrián Morejón,morejad01,5-11,224.0
Danny Morejón,morejda01,6-1,175.0
Christopher Morel,morelch01,5-11,145.0
Ramón Morel,morelra01,6-2,175.0
Ángel Moreno,morenan01,5-9,165.0
Diego Moreno,morendi01,6-1,235.0
Edwin Moreno,morened01,6-1,195.0
Gabriel Moreno,morenga01,5-11,195.0
José Moreno,morenjo01,6-0,175.0
Julio Moreno,morenju01,5-8,165.0
Juan Moreno,morenju02,6-1,205.0
Omar Moreno,morenom01,6-2,180.0
Orber Moreno,morenor01,6-3,225.0
Dauri Moreta,moretda01,6-2,185.0
Roger Moret,moretro01,6-4,170.0
Juan Morillo,morilju01,6-1,190.0
Eugenio Morín,morineu01,5-8,
Justin Morneau,morneju01,6-4,220.0
Reyes Moronta,moronre01,5-10,265.0
Akeel Morris,morriak01,6-1,205.0
Jon Morrison,morrijo03,5-9,167.0
Pete Morris,morrip.01,,
Guillermo Moscoso,moscogu01,6-1,200.0
Julio Mosquera,mosquju01,6-0,185.0
Damian Moss,mossda01,6-0,187.0
Andy Mota,motaan01,5-10,180.0
Danny Mota,motada01,6-0,180.0
Guillermo Mota,motagu01,6-6,240.0
José Mota,motajo01,5-9,155.0
Manny Mota,motama01,5-10,160.0
Bill Mountjoy,mountbi01,5-6,150.0
Gabriel Moya,moyaga01,6-0,225.0
Steven Moya,moyast01,6-7,260.0
Peter Moylan,moylape01,6-3,220.0
Edward Mujica,mujiced01,6-3,220.0
José Mujica,mujicjo01,6-2,249.0
Mike Muldoon,muldomi01,5-8,165.0
Tony Mullane,mullato01,5-10,165.0
Henry Mullin,mullihe01,5-9,160.0
Manny Muñiz,munizma01,5-11,190.0
Andrés Muñoz,munozan01,6-2,222.0
Arnie Muñoz,munozar01,5-9,185.0
Bobby Muñoz,munozbo01,6-7,237.0
Noe Muñoz,munozno01,6-2,210.0
Pedro Muñoz,munozpe01,5-11,170.0
Roddery Muñoz,munozro01,6-2,210.0
Yairo Muñoz,munozya01,5-11,200.0
Masanori Murakami,murakma01,6-0,180.0
Toru Murata,muratto01,6-0,175.0
Larry Murphy,murphla01,5-8,170.0
Iván Murrell,murreiv01,6-2,195.0
Simón Muzziotti,muzzisi01,6-0,175.0
Aaron Myette,myettaa01,6-4,195.0
Micheal Nakamura,nakammi01,5-10,170.0
